"country_name","genres","n"
"Argentina","Action",133
"Argentina","Adult",2
"Argentina","Adventure",100
"Argentina","Animation",50
"Argentina","Biography",7
"Argentina","Comedy",166
"Argentina","Crime",133
"Argentina","Documentary",23
"Argentina","Drama",358
"Argentina","Family",18
"Argentina","Fantasy",21
"Argentina","History",3
"Argentina","Horror",28
"Argentina","Music",43
"Argentina","Mystery",55
"Argentina","Romance",94
"Argentina","Sci-Fi",14
"Argentina","Sport",10
"Argentina","Talk-Show",9
"Argentina","Thriller",80
"Argentina","War",3
"Argentina","Western",6
"Argentina","\N",3
"Australia","Action",197
"Australia","Adult",2
"Australia","Adventure",141
"Australia","Animation",51
"Australia","Biography",13
"Australia","Comedy",185
"Australia","Crime",134
"Australia","Documentary",40
"Australia","Drama",267
"Australia","Family",45
"Australia","Fantasy",47
"Australia","Game-Show",8
"Australia","History",4
"Australia","Horror",19
"Australia","Music",1
"Australia","Musical",2
"Australia","Mystery",50
"Australia","Reality-TV",24
"Australia","Romance",74
"Australia","Sci-Fi",48
"Australia","Sport",13
"Australia","Talk-Show",10
"Australia","Thriller",62
"Australia","War",8
"Australia","Western",4
"Australia","\N",15
"Austria","Action",196
"Austria","Adult",2
"Austria","Adventure",127
"Austria","Animation",35
"Austria","Biography",13
"Austria","Comedy",186
"Austria","Crime",150
"Austria","Documentary",31
"Austria","Drama",316
"Austria","Family",45
"Austria","Fantasy",56
"Austria","Game-Show",6
"Austria","History",5
"Austria","Horror",28
"Austria","Music",3
"Austria","Mystery",57
"Austria","Reality-TV",10
"Austria","Romance",81
"Austria","Sci-Fi",27
"Austria","Sport",14
"Austria","Talk-Show",11
"Austria","Thriller",75
"Austria","War",3
"Austria","Western",3
"Austria","\N",7
"Bahamas","Action",181
"Bahamas","Adult",5
"Bahamas","Adventure",106
"Bahamas","Animation",73
"Bahamas","Biography",9
"Bahamas","Comedy",171
"Bahamas","Crime",138
"Bahamas","Documentary",19
"Bahamas","Drama",298
"Bahamas","Family",44
"Bahamas","Fantasy",30
"Bahamas","Game-Show",4
"Bahamas","History",3
"Bahamas","Horror",31
"Bahamas","Music",4
"Bahamas","Mystery",36
"Bahamas","Reality-TV",7
"Bahamas","Romance",72
"Bahamas","Sci-Fi",24
"Bahamas","Sport",10
"Bahamas","Talk-Show",6
"Bahamas","Thriller",92
"Bahamas","War",2
"Bahamas","Western",6
"Bahamas","\N",2
"Bahrain","Action",197
"Bahrain","Adult",4
"Bahrain","Adventure",114
"Bahrain","Animation",33
"Bahrain","Biography",13
"Bahrain","Comedy",164
"Bahrain","Crime",131
"Bahrain","Documentary",23
"Bahrain","Drama",313
"Bahrain","Family",19
"Bahrain","Fantasy",38
"Bahrain","Game-Show",11
"Bahrain","History",3
"Bahrain","Horror",30
"Bahrain","Music",3
"Bahrain","Musical",1
"Bahrain","Mystery",48
"Bahrain","Reality-TV",14
"Bahrain","Romance",88
"Bahrain","Sci-Fi",25
"Bahrain","Sport",8
"Bahrain","Talk-Show",10
"Bahrain","Thriller",78
"Bahrain","War",2
"Bahrain","Western",3
"Bahrain","\N",3
"Bangladesh","Action",224
"Bangladesh","Adult",4
