"label","n","parent","id"
"total",131358,NA,"total"
"Action",17427,"total","total  -  Action"
"Adult",306,"total","total  -  Adult"
"Adventure",10953,"total","total  -  Adventure"
"Animation",4316,"total","total  -  Animation"
"Biography",760,"total","total  -  Biography"
"Comedy",16957,"total","total  -  Comedy"
"Crime",12484,"total","total  -  Crime"
"Documentary",2274,"total","total  -  Documentary"
"Drama",29867,"total","total  -  Drama"
"Family",2240,"total","total  -  Family"
"Fantasy",3273,"total","total  -  Fantasy"
"Film Noir",1,"total","total  -  Film Noir"
"Game Show",477,"total","total  -  Game Show"
"History",354,"total","total  -  History"
"Horror",2264,"total","total  -  Horror"
"Music",1162,"total","total  -  Music"
"Musical",158,"total","total  -  Musical"
"Mystery",4698,"total","total  -  Mystery"
"Reality TV",836,"total","total  -  Reality TV"
"Romance",8890,"total","total  -  Romance"
"Sci Fi",3014,"total","total  -  Sci Fi"
"Sport",773,"total","total  -  Sport"
"Talk Show",758,"total","total  -  Talk Show"
"Thriller",6444,"total","total  -  Thriller"
"War",324,"total","total  -  War"
"Western",348,"total","total  -  Western"
"Argentina",133,"total -  Action","total -  Action  -  Argentina"
"Argentina",2,"total -  Adult","total -  Adult  -  Argentina"
"Argentina",100,"total -  Adventure","total -  Adventure  -  Argentina"
"Argentina",50,"total -  Animation","total -  Animation  -  Argentina"
"Argentina",7,"total -  Biography","total -  Biography  -  Argentina"
"Argentina",166,"total -  Comedy","total -  Comedy  -  Argentina"
"Argentina",133,"total -  Crime","total -  Crime  -  Argentina"
"Argentina",23,"total -  Documentary","total -  Documentary  -  Argentina"
"Argentina",358,"total -  Drama","total -  Drama  -  Argentina"
"Argentina",18,"total -  Family","total -  Family  -  Argentina"
"Argentina",21,"total -  Fantasy","total -  Fantasy  -  Argentina"
"Argentina",3,"total -  History","total -  History  -  Argentina"
"Argentina",28,"total -  Horror","total -  Horror  -  Argentina"
"Argentina",43,"total -  Music","total -  Music  -  Argentina"
"Argentina",55,"total -  Mystery","total -  Mystery  -  Argentina"
"Argentina",94,"total -  Romance","total -  Romance  -  Argentina"
"Argentina",14,"total -  Sci Fi","total -  Sci Fi  -  Argentina"
"Argentina",10,"total -  Sport","total -  Sport  -  Argentina"
"Argentina",9,"total -  Talk Show","total -  Talk Show  -  Argentina"
"Argentina",80,"total -  Thriller","total -  Thriller  -  Argentina"
"Argentina",3,"total -  War","total -  War  -  Argentina"
"Argentina",6,"total -  Western","total -  Western  -  Argentina"
"Australia",197,"total -  Action","total -  Action  -  Australia"
"Australia",2,"total -  Adult","total -  Adult  -  Australia"
"Australia",141,"total -  Adventure","total -  Adventure  -  Australia"
"Australia",51,"total -  Animation","total -  Animation  -  Australia"
"Australia",13,"total -  Biography","total -  Biography  -  Australia"
"Australia",185,"total -  Comedy","total -  Comedy  -  Australia"
"Australia",134,"total -  Crime","total -  Crime  -  Australia"
"Australia",40,"total -  Documentary","total -  Documentary  -  Australia"
"Australia",267,"total -  Drama","total -  Drama  -  Australia"
"Australia",45,"total -  Family","total -  Family  -  Australia"
"Australia",47,"total -  Fantasy","total -  Fantasy  -  Australia"
"Australia",8,"total -  Game Show","total -  Game Show  -  Australia"
"Australia",4,"total -  History","total -  History  -  Australia"
"Australia",19,"total -  Horror","total -  Horror  -  Australia"
"Australia",1,"total -  Music","total -  Music  -  Australia"
"Australia",2,"total -  Musical","total -  Musical  -  Australia"
"Australia",50,"total -  Mystery","total -  Mystery  -  Australia"
"Australia",24,"total -  Reality TV","total -  Reality TV  -  Australia"
"Australia",74,"total -  Romance","total -  Romance  -  Australia"
"Australia",48,"total -  Sci Fi","total -  Sci Fi  -  Australia"
"Australia",13,"total -  Sport","total -  Sport  -  Australia"
"Australia",10,"total -  Talk Show","total -  Talk Show  -  Australia"
"Australia",62,"total -  Thriller","total -  Thriller  -  Australia"
"Australia",8,"total -  War","total -  War  -  Australia"
"Australia",4,"total -  Western","total -  Western  -  Australia"
"Austria",196,"total -  Action","total -  Action  -  Austria"
"Austria",2,"total -  Adult","total -  Adult  -  Austria"
"Austria",127,"total -  Adventure","total -  Adventure  -  Austria"
"Austria",35,"total -  Animation","total -  Animation  -  Austria"
"Austria",13,"total -  Biography","total -  Biography  -  Austria"
"Austria",186,"total -  Comedy","total -  Comedy  -  Austria"
"Austria",150,"total -  Crime","total -  Crime  -  Austria"
"Austria",31,"total -  Documentary","total -  Documentary  -  Austria"
"Austria",316,"total -  Drama","total -  Drama  -  Austria"
"Austria",45,"total -  Family","total -  Family  -  Austria"
"Austria",56,"total -  Fantasy","total -  Fantasy  -  Austria"
"Austria",6,"total -  Game Show","total -  Game Show  -  Austria"
"Austria",5,"total -  History","total -  History  -  Austria"
"Austria",28,"total -  Horror","total -  Horror  -  Austria"
"Austria",3,"total -  Music","total -  Music  -  Austria"
"Austria",57,"total -  Mystery","total -  Mystery  -  Austria"
"Austria",10,"total -  Reality TV","total -  Reality TV  -  Austria"
"Austria",81,"total -  Romance","total -  Romance  -  Austria"
"Austria",27,"total -  Sci Fi","total -  Sci Fi  -  Austria"
"Austria",14,"total -  Sport","total -  Sport  -  Austria"
"Austria",11,"total -  Talk Show","total -  Talk Show  -  Austria"
"Austria",75,"total -  Thriller","total -  Thriller  -  Austria"
"Austria",3,"total -  War","total -  War  -  Austria"
"Austria",3,"total -  Western","total -  Western  -  Austria"
"Bahamas",181,"total -  Action","total -  Action  -  Bahamas"
"Bahamas",5,"total -  Adult","total -  Adult  -  Bahamas"
"Bahamas",106,"total -  Adventure","total -  Adventure  -  Bahamas"
"Bahamas",73,"total -  Animation","total -  Animation  -  Bahamas"
"Bahamas",9,"total -  Biography","total -  Biography  -  Bahamas"
"Bahamas",171,"total -  Comedy","total -  Comedy  -  Bahamas"
"Bahamas",138,"total -  Crime","total -  Crime  -  Bahamas"
"Bahamas",19,"total -  Documentary","total -  Documentary  -  Bahamas"
"Bahamas",298,"total -  Drama","total -  Drama  -  Bahamas"
"Bahamas",44,"total -  Family","total -  Family  -  Bahamas"
"Bahamas",30,"total -  Fantasy","total -  Fantasy  -  Bahamas"
"Bahamas",4,"total -  Game Show","total -  Game Show  -  Bahamas"
"Bahamas",3,"total -  History","total -  History  -  Bahamas"
