"id","n","label","parent"
"total","116376",NA,NA
"total -  Action","17294"," Action","total"
"total -  Adventure","10953"," Adventure","total"
"total -  Animation","3621"," Animation","total"
"total -  Comedy","16957"," Comedy","total"
"total -  Crime","12484"," Crime","total"
"total -  Documentary","269"," Documentary","total"
"total -  Drama","29867"," Drama","total"
"total -  Family","400"," Family","total"
"total -  Fantasy","2269"," Fantasy","total"
"total -  Horror","218"," Horror","total"
"total -  Music","521"," Music","total"
"total -  Musical","51"," Musical","total"
"total -  Mystery","4557"," Mystery","total"
"total -  Romance","8890"," Romance","total"
"total -  Sci Fi","1581"," Sci Fi","total"
"total -  Thriller","6444"," Thriller","total"
"total -  Adventure  -  Argentina","100","Argentina","total -  Adventure"
"total -  Animation  -  Argentina","50","Argentina","total -  Animation"
"total -  Comedy  -  Argentina","166","Argentina","total -  Comedy"
"total -  Crime  -  Argentina","133","Argentina","total -  Crime"
"total -  Drama  -  Argentina","358","Argentina","total -  Drama"
"total -  Horror  -  Argentina","28","Argentina","total -  Horror"
"total -  Music  -  Argentina","43","Argentina","total -  Music"
"total -  Mystery  -  Argentina","55","Argentina","total -  Mystery"
"total -  Romance  -  Argentina","94","Argentina","total -  Romance"
"total -  Thriller  -  Argentina","80","Argentina","total -  Thriller"
"total -  Action  -  Australia","197","Australia","total -  Action"
"total -  Adventure  -  Australia","141","Australia","total -  Adventure"
"total -  Animation  -  Australia","51","Australia","total -  Animation"
"total -  Comedy  -  Australia","185","Australia","total -  Comedy"
"total -  Crime  -  Australia","134","Australia","total -  Crime"
"total -  Drama  -  Australia","267","Australia","total -  Drama"
"total -  Mystery  -  Australia","50","Australia","total -  Mystery"
"total -  Romance  -  Australia","74","Australia","total -  Romance"
"total -  Sci Fi  -  Australia","48","Australia","total -  Sci Fi"
"total -  Thriller  -  Australia","62","Australia","total -  Thriller"
"total -  Action  -  Austria","196","Austria","total -  Action"
"total -  Adventure  -  Austria","127","Austria","total -  Adventure"
"total -  Comedy  -  Austria","186","Austria","total -  Comedy"
"total -  Crime  -  Austria","150","Austria","total -  Crime"
"total -  Drama  -  Austria","316","Austria","total -  Drama"
"total -  Family  -  Austria","45","Austria","total -  Family"
"total -  Fantasy  -  Austria","56","Austria","total -  Fantasy"
"total -  Mystery  -  Austria","57","Austria","total -  Mystery"
"total -  Romance  -  Austria","81","Austria","total -  Romance"
"total -  Thriller  -  Austria","75","Austria","total -  Thriller"
"total -  Action  -  Bahamas","181","Bahamas","total -  Action"
"total -  Adventure  -  Bahamas","106","Bahamas","total -  Adventure"
"total -  Animation  -  Bahamas","73","Bahamas","total -  Animation"
"total -  Comedy  -  Bahamas","171","Bahamas","total -  Comedy"
"total -  Crime  -  Bahamas","138","Bahamas","total -  Crime"
"total -  Drama  -  Bahamas","298","Bahamas","total -  Drama"
"total -  Family  -  Bahamas","44","Bahamas","total -  Family"
"total -  Mystery  -  Bahamas","36","Bahamas","total -  Mystery"
"total -  Romance  -  Bahamas","72","Bahamas","total -  Romance"
"total -  Thriller  -  Bahamas","92","Bahamas","total -  Thriller"
"total -  Action  -  Bahrain","197","Bahrain","total -  Action"
"total -  Adventure  -  Bahrain","114","Bahrain","total -  Adventure"
"total -  Animation  -  Bahrain","33","Bahrain","total -  Animation"
"total -  Comedy  -  Bahrain","164","Bahrain","total -  Comedy"
"total -  Crime  -  Bahrain","131","Bahrain","total -  Crime"
"total -  Drama  -  Bahrain","313","Bahrain","total -  Drama"
"total -  Fantasy  -  Bahrain","38","Bahrain","total -  Fantasy"
"total -  Mystery  -  Bahrain","48","Bahrain","total -  Mystery"
"total -  Romance  -  Bahrain","88","Bahrain","total -  Romance"
"total -  Thriller  -  Bahrain","78","Bahrain","total -  Thriller"
"total -  Action  -  Bangladesh","224","Bangladesh","total -  Action"
"total -  Adventure  -  Bangladesh","93","Bangladesh","total -  Adventure"
"total -  Comedy  -  Bangladesh","204","Bangladesh","total -  Comedy"
"total -  Crime  -  Bangladesh","172","Bangladesh","total -  Crime"
"total -  Drama  -  Bangladesh","357","Bangladesh","total -  Drama"
"total -  Fantasy  -  Bangladesh","31","Bangladesh","total -  Fantasy"
"total -  Mystery  -  Bangladesh","92","Bangladesh","total -  Mystery"
"total -  Romance  -  Bangladesh","92","Bangladesh","total -  Romance"
"total -  Sci Fi  -  Bangladesh","37","Bangladesh","total -  Sci Fi"
"total -  Thriller  -  Bangladesh","67","Bangladesh","total -  Thriller"
"total -  Action  -  Belgium","193","Belgium","total -  Action"
"total -  Adventure  -  Belgium","137","Belgium","total -  Adventure"
"total -  Animation  -  Belgium","53","Belgium","total -  Animation"
"total -  Comedy  -  Belgium","188","Belgium","total -  Comedy"
"total -  Crime  -  Belgium","133","Belgium","total -  Crime"
"total -  Drama  -  Belgium","310","Belgium","total -  Drama"
"total -  Fantasy  -  Belgium","49","Belgium","total -  Fantasy"
"total -  Mystery  -  Belgium","47","Belgium","total -  Mystery"
"total -  Romance  -  Belgium","91","Belgium","total -  Romance"
"total -  Thriller  -  Belgium","65","Belgium","total -  Thriller"
"total -  Action  -  Bolivia","151","Bolivia","total -  Action"
"total -  Adventure  -  Bolivia","138","Bolivia","total -  Adventure"
"total -  Animation  -  Bolivia","91","Bolivia","total -  Animation"
"total -  Comedy  -  Bolivia","217","Bolivia","total -  Comedy"
"total -  Crime  -  Bolivia","84","Bolivia","total -  Crime"
"total -  Drama  -  Bolivia","269","Bolivia","total -  Drama"
"total -  Fantasy  -  Bolivia","26","Bolivia","total -  Fantasy"
"total -  Mystery  -  Bolivia","40","Bolivia","total -  Mystery"
"total -  Romance  -  Bolivia","103","Bolivia","total -  Romance"
"total -  Thriller  -  Bolivia","55","Bolivia","total -  Thriller"
"total -  Action  -  Brazil","157","Brazil","total -  Action"
"total -  Adventure  -  Brazil","162","Brazil","total -  Adventure"
"total -  Animation  -  Brazil","68","Brazil","total -  Animation"
"total -  Comedy  -  Brazil","173","Brazil","total -  Comedy"
"total -  Crime  -  Brazil","117","Brazil","total -  Crime"
"total -  Drama  -  Brazil","294","Brazil","total -  Drama"
"total -  Family  -  Brazil","105","Brazil","total -  Family"
"total -  Musical  -  Brazil","51","Brazil","total -  Musical"
"total -  Romance  -  Brazil","116","Brazil","total -  Romance"
"total -  Thriller  -  Brazil","63","Brazil","total -  Thriller"
"total -  Action  -  Bulgaria","214","Bulgaria","total -  Action"
"total -  Adventure  -  Bulgaria","133","Bulgaria","total -  Adventure"
"total -  Animation  -  Bulgaria","45","Bulgaria","total -  Animation"
"total -  Comedy  -  Bulgaria","184","Bulgaria","total -  Comedy"
"total -  Crime  -  Bulgaria","128","Bulgaria","total -  Crime"
"total -  Drama  -  Bulgaria","306","Bulgaria","total -  Drama"
"total -  Mystery  -  Bulgaria","43","Bulgaria","total -  Mystery"
"total -  Romance  -  Bulgaria","97","Bulgaria","total -  Romance"
"total -  Sci Fi  -  Bulgaria","47","Bulgaria","total -  Sci Fi"
