"parents","n","labels","id"
"Argentina",100," Adventure","Argentina  -   Adventure"
"Argentina",50," Animation","Argentina  -   Animation"
"Argentina",7," Biography","Argentina  -   Biography"
"Argentina",166," Comedy","Argentina  -   Comedy"
"Argentina",133," Crime","Argentina  -   Crime"
"Argentina",23," Documentary","Argentina  -   Documentary"
"Argentina",358," Drama","Argentina  -   Drama"
"Argentina",18," Family","Argentina  -   Family"
"Argentina",21," Fantasy","Argentina  -   Fantasy"
"Argentina",3," History","Argentina  -   History"
"Argentina",28," Horror","Argentina  -   Horror"
"Argentina",43," Music","Argentina  -   Music"
"Argentina",55," Mystery","Argentina  -   Mystery"
"Argentina",94," Romance","Argentina  -   Romance"
"Argentina",14," Sci Fi","Argentina  -   Sci Fi"
"Argentina",10," Sport","Argentina  -   Sport"
"Argentina",9," Talk Show","Argentina  -   Talk Show"
"Argentina",80," Thriller","Argentina  -   Thriller"
"Argentina",3," War","Argentina  -   War"
"Argentina",6," Western","Argentina  -   Western"
"Australia",197," Action","Australia  -   Action"
"Australia",2," Adult","Australia  -   Adult"
"Australia",141," Adventure","Australia  -   Adventure"
"Australia",51," Animation","Australia  -   Animation"
"Australia",13," Biography","Australia  -   Biography"
"Australia",185," Comedy","Australia  -   Comedy"
"Australia",134," Crime","Australia  -   Crime"
"Australia",40," Documentary","Australia  -   Documentary"
"Australia",267," Drama","Australia  -   Drama"
"Australia",45," Family","Australia  -   Family"
"Australia",47," Fantasy","Australia  -   Fantasy"
"Australia",8," Game Show","Australia  -   Game Show"
"Australia",4," History","Australia  -   History"
"Australia",19," Horror","Australia  -   Horror"
"Australia",1," Music","Australia  -   Music"
"Australia",2," Musical","Australia  -   Musical"
"Australia",50," Mystery","Australia  -   Mystery"
"Australia",24," Reality TV","Australia  -   Reality TV"
"Australia",74," Romance","Australia  -   Romance"
"Australia",48," Sci Fi","Australia  -   Sci Fi"
"Australia",13," Sport","Australia  -   Sport"
"Australia",10," Talk Show","Australia  -   Talk Show"
"Australia",62," Thriller","Australia  -   Thriller"
"Australia",8," War","Australia  -   War"
"Australia",4," Western","Australia  -   Western"
"Austria",196," Action","Austria  -   Action"
"Austria",2," Adult","Austria  -   Adult"
"Austria",127," Adventure","Austria  -   Adventure"
"Austria",35," Animation","Austria  -   Animation"
"Austria",13," Biography","Austria  -   Biography"
"Austria",186," Comedy","Austria  -   Comedy"
"Austria",150," Crime","Austria  -   Crime"
"Austria",31," Documentary","Austria  -   Documentary"
"Austria",316," Drama","Austria  -   Drama"
"Austria",45," Family","Austria  -   Family"
"Austria",56," Fantasy","Austria  -   Fantasy"
"Austria",6," Game Show","Austria  -   Game Show"
"Austria",5," History","Austria  -   History"
"Austria",28," Horror","Austria  -   Horror"
"Austria",3," Music","Austria  -   Music"
"Austria",57," Mystery","Austria  -   Mystery"
"Austria",10," Reality TV","Austria  -   Reality TV"
"Austria",81," Romance","Austria  -   Romance"
"Austria",27," Sci Fi","Austria  -   Sci Fi"
"Austria",14," Sport","Austria  -   Sport"
"Austria",11," Talk Show","Austria  -   Talk Show"
"Austria",75," Thriller","Austria  -   Thriller"
"Austria",3," War","Austria  -   War"
"Austria",3," Western","Austria  -   Western"
"Bahamas",181," Action","Bahamas  -   Action"
"Bahamas",5," Adult","Bahamas  -   Adult"
"Bahamas",106," Adventure","Bahamas  -   Adventure"
"Bahamas",73," Animation","Bahamas  -   Animation"
"Bahamas",9," Biography","Bahamas  -   Biography"
"Bahamas",171," Comedy","Bahamas  -   Comedy"
"Bahamas",138," Crime","Bahamas  -   Crime"
"Bahamas",19," Documentary","Bahamas  -   Documentary"
"Bahamas",298," Drama","Bahamas  -   Drama"
"Bahamas",44," Family","Bahamas  -   Family"
"Bahamas",30," Fantasy","Bahamas  -   Fantasy"
"Bahamas",4," Game Show","Bahamas  -   Game Show"
"Bahamas",3," History","Bahamas  -   History"
"Bahamas",31," Horror","Bahamas  -   Horror"
"Bahamas",4," Music","Bahamas  -   Music"
"Bahamas",36," Mystery","Bahamas  -   Mystery"
"Bahamas",7," Reality TV","Bahamas  -   Reality TV"
"Bahamas",72," Romance","Bahamas  -   Romance"
"Bahamas",24," Sci Fi","Bahamas  -   Sci Fi"
"Bahamas",10," Sport","Bahamas  -   Sport"
"Bahamas",6," Talk Show","Bahamas  -   Talk Show"
"Bahamas",92," Thriller","Bahamas  -   Thriller"
"Bahamas",2," War","Bahamas  -   War"
"Bahamas",6," Western","Bahamas  -   Western"
"Bahrain",197," Action","Bahrain  -   Action"
"Bahrain",4," Adult","Bahrain  -   Adult"
"Bahrain",114," Adventure","Bahrain  -   Adventure"
"Bahrain",33," Animation","Bahrain  -   Animation"
"Bahrain",13," Biography","Bahrain  -   Biography"
"Bahrain",164," Comedy","Bahrain  -   Comedy"
"Bahrain",131," Crime","Bahrain  -   Crime"
"Bahrain",23," Documentary","Bahrain  -   Documentary"
"Bahrain",313," Drama","Bahrain  -   Drama"
"Bahrain",19," Family","Bahrain  -   Family"
"Bahrain",38," Fantasy","Bahrain  -   Fantasy"
"Bahrain",11," Game Show","Bahrain  -   Game Show"
"Bahrain",3," History","Bahrain  -   History"
"Bahrain",30," Horror","Bahrain  -   Horror"
"Bahrain",3," Music","Bahrain  -   Music"
"Bahrain",1," Musical","Bahrain  -   Musical"
"Bahrain",48," Mystery","Bahrain  -   Mystery"
"Bahrain",14," Reality TV","Bahrain  -   Reality TV"
"Bahrain",88," Romance","Bahrain  -   Romance"
"Bahrain",25," Sci Fi","Bahrain  -   Sci Fi"
"Bahrain",8," Sport","Bahrain  -   Sport"
"Bahrain",10," Talk Show","Bahrain  -   Talk Show"
"Bahrain",78," Thriller","Bahrain  -   Thriller"
"Bahrain",2," War","Bahrain  -   War"
"Bahrain",3," Western","Bahrain  -   Western"
"Bangladesh",224," Action","Bangladesh  -   Action"
"Bangladesh",4," Adult","Bangladesh  -   Adult"
"Bangladesh",93," Adventure","Bangladesh  -   Adventure"
"Bangladesh",27," Animation","Bangladesh  -   Animation"
"Bangladesh",4," Biography","Bangladesh  -   Biography"
"Bangladesh",204," Comedy","Bangladesh  -   Comedy"
"Bangladesh",172," Crime","Bangladesh  -   Crime"
"Bangladesh",12," Documentary","Bangladesh  -   Documentary"
"Bangladesh",357," Drama","Bangladesh  -   Drama"
"Bangladesh",13," Family","Bangladesh  -   Family"
"Bangladesh",31," Fantasy","Bangladesh  -   Fantasy"
"Bangladesh",4," Game Show","Bangladesh  -   Game Show"
"Bangladesh",2," History","Bangladesh  -   History"
"Bangladesh",21," Horror","Bangladesh  -   Horror"
"Bangladesh",1," Music","Bangladesh  -   Music"
"Bangladesh",5," Musical","Bangladesh  -   Musical"
"Bangladesh",92," Mystery","Bangladesh  -   Mystery"
"Bangladesh",2," Reality TV","Bangladesh  -   Reality TV"
"Bangladesh",92," Romance","Bangladesh  -   Romance"
"Bangladesh",37," Sci Fi","Bangladesh  -   Sci Fi"
"Bangladesh",1," Sport","Bangladesh  -   Sport"
"Bangladesh",10," Talk Show","Bangladesh  -   Talk Show"
"Bangladesh",67," Thriller","Bangladesh  -   Thriller"
"Bangladesh",2," War","Bangladesh  -   War"
"Belgium",193," Action","Belgium  -   Action"
"Belgium",2," Adult","Belgium  -   Adult"
"Belgium",137," Adventure","Belgium  -   Adventure"
"Belgium",53," Animation","Belgium  -   Animation"
